season,team,scheduled_games,observed_report_games,coverage
2016,ARI,16,16,1.0
2016,ATL,16,16,1.0
2016,BAL,16,16,1.0
2016,BUF,16,16,1.0
2016,CAR,16,16,1.0
2016,CHI,16,16,1.0
2016,CIN,16,16,1.0
2016,CLE,16,16,1.0
2016,DAL,16,16,1.0
2016,DEN,16,16,1.0
2016,DET,16,16,1.0
2016,GB,16,16,1.0
2016,HOU,16,16,1.0
2016,IND,16,16,1.0
2016,JAX,16,16,1.0
2016,KC,16,16,1.0
2016,LA,16,16,1.0
2016,LAC,16,16,1.0
2016,LV,16,16,1.0
2016,MIA,16,16,1.0
2016,MIN,16,16,1.0
2016,NE,16,16,1.0
2016,NO,16,16,1.0
2016,NYG,16,16,1.0
2016,NYJ,16,16,1.0
2016,PHI,16,16,1.0
2016,PIT,16,16,1.0
2016,SEA,16,16,1.0
2016,SF,16,16,1.0
2016,TB,16,16,1.0
2016,TEN,16,16,1.0
2016,WAS,16,16,1.0
2017,ARI,16,16,1.0
2017,ATL,16,16,1.0
2017,BAL,16,16,1.0
2017,BUF,16,16,1.0
2017,CAR,16,16,1.0
2017,CHI,16,16,1.0
2017,CIN,16,16,1.0
2017,CLE,16,16,1.0
2017,DAL,16,16,1.0
2017,DEN,16,16,1.0
2017,DET,16,16,1.0
2017,GB,16,16,1.0
2017,HOU,16,16,1.0
2017,IND,16,16,1.0
2017,JAX,16,16,1.0
2017,KC,16,16,1.0
2017,LA,16,15,0.9375
2017,LAC,16,16,1.0
2017,LV,16,16,1.0
2017,MIA,16,16,1.0
2017,MIN,16,16,1.0
2017,NE,16,16,1.0
2017,NO,16,16,1.0
2017,NYG,16,16,1.0
2017,NYJ,16,16,1.0
2017,PHI,16,16,1.0
2017,PIT,16,16,1.0
2017,SEA,16,16,1.0
2017,SF,16,16,1.0
2017,TB,16,16,1.0
2017,TEN,16,16,1.0
2017,WAS,16,16,1.0
2018,ARI,16,16,1.0
2018,ATL,16,16,1.0
2018,BAL,16,16,1.0
2018,BUF,16,16,1.0
2018,CAR,16,16,1.0
2018,CHI,16,16,1.0
2018,CIN,16,16,1.0
2018,CLE,16,16,1.0
2018,DAL,16,16,1.0
2018,DEN,16,16,1.0
2018,DET,16,16,1.0
2018,GB,16,16,1.0
2018,HOU,16,16,1.0
2018,IND,16,16,1.0
2018,JAX,16,16,1.0
2018,KC,16,16,1.0
2018,LA,16,16,1.0
2018,LAC,16,16,1.0
2018,LV,16,16,1.0
2018,MIA,16,16,1.0
2018,MIN,16,16,1.0
2018,NE,16,16,1.0
2018,NO,16,16,1.0
2018,NYG,16,16,1.0
2018,NYJ,16,16,1.0
2018,PHI,16,16,1.0
2018,PIT,16,16,1.0
2018,SEA,16,16,1.0
2018,SF,16,16,1.0
2018,TB,16,16,1.0
2018,TEN,16,16,1.0
2018,WAS,16,16,1.0
2019,ARI,16,16,1.0
2019,ATL,16,16,1.0
2019,BAL,16,16,1.0
2019,BUF,16,16,1.0
2019,CAR,16,16,1.0
2019,CHI,16,16,1.0
2019,CIN,16,16,1.0
2019,CLE,16,16,1.0
2019,DAL,16,16,1.0
2019,DEN,16,16,1.0
2019,DET,16,16,1.0
2019,GB,16,16,1.0
2019,HOU,16,16,1.0
2019,IND,16,16,1.0
2019,JAX,16,16,1.0
2019,KC,16,16,1.0
2019,LA,16,16,1.0
2019,LAC,16,16,1.0
2019,LV,16,16,1.0
2019,MIA,16,16,1.0
2019,MIN,16,16,1.0
2019,NE,16,16,1.0
2019,NO,16,16,1.0
2019,NYG,16,16,1.0
2019,NYJ,16,16,1.0
2019,PHI,16,16,1.0
2019,PIT,16,16,1.0
2019,SEA,16,16,1.0
2019,SF,16,16,1.0
2019,TB,16,16,1.0
2019,TEN,16,16,1.0
2019,WAS,16,16,1.0
2020,ARI,16,16,1.0
2020,ATL,16,16,1.0
2020,BAL,16,16,1.0
2020,BUF,16,16,1.0
2020,CAR,16,16,1.0
2020,CHI,16,16,1.0
2020,CIN,16,16,1.0
2020,CLE,16,16,1.0
2020,DAL,16,16,1.0
2020,DEN,16,16,1.0
2020,DET,16,16,1.0
2020,GB,16,16,1.0
2020,HOU,16,16,1.0
2020,IND,16,16,1.0
2020,JAX,16,16,1.0
2020,KC,16,16,1.0
2020,LA,16,16,1.0
2020,LAC,16,16,1.0
2020,LV,16,16,1.0
2020,MIA,16,16,1.0
2020,MIN,16,15,0.9375
2020,NE,16,16,1.0
2020,NO,16,16,1.0
2020,NYG,16,16,1.0
2020,NYJ,16,16,1.0
2020,PHI,16,16,1.0
2020,PIT,16,16,1.0
2020,SEA,16,16,1.0
2020,SF,16,16,1.0
2020,TB,16,16,1.0
2020,TEN,16,16,1.0
2020,WAS,16,16,1.0
2021,ARI,17,17,1.0
2021,ATL,17,17,1.0
2021,BAL,17,17,1.0
2021,BUF,17,17,1.0
2021,CAR,17,17,1.0
2021,CHI,17,17,1.0
2021,CIN,17,17,1.0
2021,CLE,17,17,1.0
2021,DAL,17,17,1.0
2021,DEN,17,17,1.0
2021,DET,17,17,1.0
2021,GB,17,17,1.0
2021,HOU,17,17,1.0
2021,IND,17,17,1.0
2021,JAX,17,17,1.0
2021,KC,17,17,1.0
2021,LA,17,17,1.0
2021,LAC,17,17,1.0
2021,LV,17,17,1.0
2021,MIA,17,17,1.0
2021,MIN,17,17,1.0
2021,NE,17,17,1.0
2021,NO,17,17,1.0
2021,NYG,17,17,1.0
2021,NYJ,17,17,1.0
2021,PHI,17,17,1.0
2021,PIT,17,17,1.0
2021,SEA,17,17,1.0
2021,SF,17,17,1.0
2021,TB,17,17,1.0
2021,TEN,17,17,1.0
2021,WAS,17,17,1.0
2022,ARI,17,17,1.0
2022,ATL,17,17,1.0
2022,BAL,17,17,1.0
2022,BUF,16,16,1.0
2022,CAR,17,17,1.0
2022,CHI,17,16,0.9411764705882353
2022,CIN,16,16,1.0
2022,CLE,17,17,1.0
2022,DAL,17,17,1.0
2022,DEN,17,17,1.0
2022,DET,17,17,1.0
2022,GB,17,17,1.0
2022,HOU,17,17,1.0
2022,IND,17,17,1.0
2022,JAX,17,15,0.8823529411764706
2022,KC,17,17,1.0
2022,LA,17,17,1.0
2022,LAC,17,17,1.0
2022,LV,17,17,1.0
2022,MIA,17,17,1.0
2022,MIN,17,17,1.0
2022,NE,17,17,1.0
2022,NO,17,17,1.0
2022,NYG,17,17,1.0
2022,NYJ,17,17,1.0
2022,PHI,17,17,1.0
2022,PIT,17,17,1.0
2022,SEA,17,17,1.0
2022,SF,17,17,1.0
2022,TB,17,17,1.0
2022,TEN,17,17,1.0
2022,WAS,17,17,1.0
2023,ARI,17,17,1.0
2023,ATL,17,16,0.9411764705882353
2023,BAL,17,17,1.0
2023,BUF,17,17,1.0
2023,CAR,17,17,1.0
2023,CHI,17,17,1.0
2023,CIN,17,17,1.0
2023,CLE,17,17,1.0
2023,DAL,17,17,1.0
2023,DEN,17,17,1.0
2023,DET,17,17,1.0
2023,GB,17,17,1.0
2023,HOU,17,17,1.0
2023,IND,17,17,1.0
2023,JAX,17,17,1.0
2023,KC,17,17,1.0
2023,LA,17,17,1.0
2023,LAC,17,17,1.0
2023,LV,17,17,1.0
2023,MIA,17,17,1.0
2023,MIN,17,17,1.0
2023,NE,17,17,1.0
2023,NO,17,17,1.0
2023,NYG,17,17,1.0
2023,NYJ,17,17,1.0
2023,PHI,17,17,1.0
2023,PIT,17,17,1.0
2023,SEA,17,17,1.0
2023,SF,17,17,1.0
2023,TB,17,17,1.0
2023,TEN,17,17,1.0
2023,WAS,17,17,1.0
2024,ARI,17,17,1.0
2024,ATL,17,17,1.0
2024,BAL,17,17,1.0
2024,BUF,17,17,1.0
2024,CAR,17,17,1.0
2024,CHI,17,17,1.0
2024,CIN,17,17,1.0
2024,CLE,17,17,1.0
2024,DAL,17,17,1.0
2024,DEN,17,16,0.9411764705882353
2024,DET,17,17,1.0
2024,GB,17,17,1.0
2024,HOU,17,17,1.0
2024,IND,17,17,1.0
2024,JAX,17,17,1.0
2024,KC,17,17,1.0
2024,LA,17,17,1.0
2024,LAC,17,17,1.0
2024,LV,17,17,1.0
2024,MIA,17,17,1.0
2024,MIN,17,17,1.0
2024,NE,17,17,1.0
2024,NO,17,17,1.0
2024,NYG,17,17,1.0
2024,NYJ,17,17,1.0
2024,PHI,17,17,1.0
2024,PIT,17,17,1.0
2024,SEA,17,17,1.0
2024,SF,17,17,1.0
2024,TB,17,17,1.0
2024,TEN,17,17,1.0
2024,WAS,17,17,1.0
2025,ARI,17,17,1.0
2025,ATL,17,17,1.0
2025,BAL,17,17,1.0
2025,BUF,17,17,1.0
2025,CAR,17,17,1.0
2025,CHI,17,17,1.0
2025,CIN,17,17,1.0
2025,CLE,17,17,1.0
2025,DAL,17,17,1.0
2025,DEN,17,17,1.0
2025,DET,17,17,1.0
2025,GB,17,17,1.0
2025,HOU,17,17,1.0
2025,IND,17,17,1.0
2025,JAX,17,17,1.0
2025,KC,17,17,1.0
2025,LA,17,17,1.0
2025,LAC,17,17,1.0
2025,LV,17,17,1.0
2025,MIA,17,17,1.0
2025,MIN,17,17,1.0
2025,NE,17,17,1.0
2025,NO,17,17,1.0
2025,NYG,17,17,1.0
2025,NYJ,17,17,1.0
2025,PHI,17,17,1.0
2025,PIT,17,17,1.0
2025,SEA,17,17,1.0
2025,SF,17,17,1.0
2025,TB,17,17,1.0
2025,TEN,17,17,1.0
2025,WAS,17,17,1.0
