season,out_designations,matched_cash_designations,cash_allocation_m,cap_allocation_m,cash_match_rate
2016,15,13,2.1632285,1.9661576875000006,0.8666666666666667
2017,27,27,7.468518812499999,4.4504643125,1.0
2018,32,25,5.1195444375,5.4793123125,0.78125
2019,48,48,16.3198735625,16.061645749999997,1.0
2020,63,61,20.0989749375,16.2167436875,0.9682539682539683
2021,42,40,5.828638764705882,4.690668647058823,0.9523809523809523
2022,51,51,19.49130982352941,14.868365235294116,1.0
2023,31,31,10.209798999999999,6.9400311176470595,1.0
2024,55,54,28.925518823529416,18.428912588235296,0.9818181818181818
2025,45,45,20.268602588235296,11.22174664705882,1.0
