gsis_id,season,team,player,cash_paid_m,cap_number_m
00-0037834,2022,SF,Brock Purdy,0.782012,0.724253
00-0037834,2023,SF,Brock Purdy,0.87,0.889253
00-0037834,2024,SF,Brock Purdy,0.985,1.004253
00-0037834,2025,SF,Brock Purdy,41.1,9.119253
00-0031345,2017,SF,Jimmy Garoppolo,0.434158,0.434158
00-0031345,2018,SF,Jimmy Garoppolo,41.95,37.0
00-0031345,2019,SF,Jimmy Garoppolo,18.6,20.0
00-0031345,2020,SF,Jimmy Garoppolo,25.2,26.6
00-0031345,2021,SF,Jimmy Garoppolo,25.45,26.85
00-0031345,2022,SF,Jimmy Garoppolo,10.052941,13.991176
00-0027974,2016,SF,Colin Kaepernick,14.3,20.231507
00-0034869,2023,SF,Sam Darnold,4.5,6.3
00-0037012,2021,SF,Trey Lance,22.823824,6.200956
00-0037012,2022,SF,Trey Lance,2.210239,7.751195
00-0027948,2016,SF,Blaine Gabbert,2.0,2.3
00-0034343,2020,SF,Josh Rosen,0.088235,0.088235
00-0036972,2025,SF,Mac Jones,4.25,2.558
00-0027950,2016,SF,Christian Ponder,0.8,0.8
00-0032792,2021,SF,Nate Sudfeld,0.2982,0.2982
00-0033949,2024,SF,Joshua Dobbs,2.25,2.25
00-0033936,2017,SF,C.J. Beathard,1.171288,0.641572
00-0033936,2018,SF,C.J. Beathard,0.625393,0.801965
00-0033936,2019,SF,C.J. Beathard,0.785786,0.962358
00-0033936,2020,SF,C.J. Beathard,0.946179,1.122751
00-0033319,2017,SF,Nick Mullens,0.1224,0.1224
00-0033319,2018,SF,Nick Mullens,0.395294,0.395294
00-0033319,2019,SF,Nick Mullens,0.57,0.57
00-0033319,2020,SF,Nick Mullens,0.75,0.75
00-0026300,2020,SF,Josh Johnson,0.096,0.096
00-0026300,2022,SF,Josh Johnson,0.311111,0.248611
00-0032434,2023,SF,Brandon Allen,1.2325,1.0925
00-0032434,2024,SF,Brandon Allen,1.96,1.96
00-0027253,2016,SF,Thaddeus Lewis,0.428,0.363
00-0038658,2025,SF,Adrian Martinez,0.039,0.039
00-0040589,2025,SF,Kurtis Rourke,0.368236,0.267559
00-0039699,2024,SF,Tanner Mordecai,0.225,0.225
00-0032937,2017,SF,Max McCaffrey,0.082059,0.082059
00-0032937,2018,SF,Max McCaffrey,0.032647,0.032647
00-0033280,2022,SF,Christian McCaffrey,0.69,0.69
