season,team,games,observed_games,out_designations,out_per_observed_game,musculoskeletal_out_per_game,out_excluding_noninjury_per_game,reserve_per_game,win_share,coverage,rank_out
2016,ARI,16,16,21.0,1.3125,1.0625,1.3125,9.375,0.46875,1.0,25.0
2016,ATL,16,16,32.0,2.0,1.8125,2.0,6.25,0.6875,1.0,15.0
2016,BAL,16,16,30.0,1.875,1.8125,1.875,13.9375,0.5,1.0,19.0
2016,BUF,16,16,32.0,2.0,1.5,1.9375,10.3125,0.4375,1.0,15.0
2016,CAR,16,16,39.0,2.4375,1.4375,2.375,8.25,0.375,1.0,9.0
2016,CHI,16,16,13.0,0.8125,0.625,0.8125,12.75,0.1875,1.0,31.0
2016,CIN,16,16,20.0,1.25,1.1875,1.25,4.5625,0.40625,1.0,26.0
2016,CLE,16,16,32.0,2.0,1.6875,2.0,10.75,0.0625,1.0,15.0
2016,DAL,16,16,49.0,3.0625,2.75,3.0625,7.0,0.8125,1.0,3.0
2016,DEN,16,16,34.0,2.125,1.4375,2.125,3.75,0.5625,1.0,13.0
2016,DET,16,16,22.0,1.375,1.1875,1.375,7.5,0.5625,1.0,24.0
2016,GB,16,16,42.0,2.625,2.3125,2.625,4.5625,0.625,1.0,6.0
2016,HOU,16,16,47.0,2.9375,2.3125,2.8125,10.1875,0.5625,1.0,4.0
2016,IND,16,16,55.0,3.4375,2.6875,3.25,6.375,0.5,1.0,2.0
2016,JAX,16,16,32.0,2.0,1.5625,1.9375,6.5,0.1875,1.0,15.0
2016,KC,16,16,26.0,1.625,1.4375,1.625,7.1875,0.75,1.0,22.0
2016,LA,16,16,12.0,0.75,0.6875,0.75,6.9375,0.25,1.0,32.0
2016,LAC,16,16,33.0,2.0625,1.1875,2.0625,16.4375,0.3125,1.0,14.0
2016,LV,16,16,30.0,1.875,1.875,1.875,5.8125,0.75,1.0,19.0
2016,MIA,16,16,29.0,1.8125,1.3125,1.75,4.25,0.625,1.0,21.0
2016,MIN,16,16,41.0,2.5625,2.125,2.5625,8.5,0.5,1.0,7.0
2016,NE,16,16,16.0,1.0,0.8125,1.0,4.125,0.875,1.0,28.0
2016,NO,16,16,37.0,2.3125,1.875,2.25,10.75,0.4375,1.0,11.0
2016,NYG,16,16,39.0,2.4375,1.1875,2.1875,9.125,0.6875,1.0,9.0
2016,NYJ,16,16,46.0,2.875,2.375,2.875,7.8125,0.3125,1.0,5.0
2016,PHI,16,16,20.0,1.25,1.1875,1.25,4.8125,0.4375,1.0,26.0
2016,PIT,16,16,62.0,3.875,3.5,3.875,9.4375,0.6875,1.0,1.0
2016,SEA,16,16,41.0,2.5625,2.0625,2.5625,11.75,0.65625,1.0,7.0
2016,SF,16,16,15.0,0.9375,0.75,0.9375,8.625,0.125,1.0,30.0
2016,TB,16,16,36.0,2.25,1.75,2.25,6.125,0.5625,1.0,12.0
2016,TEN,16,16,16.0,1.0,0.8125,1.0,4.875,0.5625,1.0,28.0
2016,WAS,16,16,26.0,1.625,0.875,1.5625,8.5625,0.53125,1.0,22.0
2017,ARI,16,16,29.0,1.8125,1.75,1.8125,8.375,0.5,1.0,12.0
2017,ATL,16,16,27.0,1.6875,1.125,1.6875,4.8125,0.625,1.0,15.0
2017,BAL,16,16,27.0,1.6875,1.5,1.625,13.5625,0.5625,1.0,15.0
2017,BUF,16,16,34.0,2.125,1.5625,2.125,4.0625,0.5625,1.0,7.0
2017,CAR,16,16,30.0,1.875,1.4375,1.8125,12.4375,0.6875,1.0,11.0
2017,CHI,16,16,6.0,0.375,0.25,0.375,9.6875,0.3125,1.0,32.0
2017,CIN,16,16,47.0,2.9375,2.4375,2.9375,6.4375,0.4375,1.0,3.0
2017,CLE,16,16,10.0,0.625,0.4375,0.625,8.0625,0.0,1.0,30.0
2017,DAL,16,16,24.0,1.5,1.125,1.4375,5.0625,0.5625,1.0,22.0
2017,DEN,16,16,34.0,2.125,2.125,2.125,6.1875,0.3125,1.0,7.0
2017,DET,16,16,26.0,1.625,1.3125,1.625,10.5,0.5625,1.0,20.0
2017,GB,16,16,31.0,1.9375,1.6875,1.9375,8.125,0.4375,1.0,10.0
2017,HOU,16,16,51.0,3.1875,2.25,3.1875,8.5,0.25,1.0,2.0
2017,IND,16,16,63.0,3.9375,3.375,3.9375,10.875,0.25,1.0,1.0
2017,JAX,16,16,21.0,1.3125,0.875,1.1875,11.625,0.625,1.0,24.0
2017,KC,16,16,28.0,1.75,1.4375,1.625,7.6875,0.625,1.0,13.0
2017,LA,16,15,8.0,0.5333333333333333,0.4666666666666667,0.5333333333333333,5.5625,0.6875,0.9375,31.0
2017,LAC,16,16,14.0,0.875,0.8125,0.875,10.5625,0.5625,1.0,29.0
2017,LV,16,16,23.0,1.4375,1.0625,1.4375,4.1875,0.375,1.0,23.0
2017,MIA,16,16,16.0,1.0,0.9375,1.0,9.4375,0.375,1.0,28.0
2017,MIN,16,16,27.0,1.6875,1.5,1.6875,4.1875,0.8125,1.0,15.0
2017,NE,16,16,34.0,2.125,2.0,2.0,8.4375,0.8125,1.0,7.0
2017,NO,16,16,26.0,1.625,1.25,1.5625,11.0,0.6875,1.0,20.0
2017,NYG,16,16,41.0,2.5625,2.0,2.5625,14.1875,0.1875,1.0,4.0
2017,NYJ,16,16,28.0,1.75,1.25,1.6875,11.75,0.3125,1.0,13.0
2017,PHI,16,16,18.0,1.125,1.0625,1.125,7.625,0.8125,1.0,26.0
2017,PIT,16,16,21.0,1.3125,1.0625,1.25,5.0,0.8125,1.0,24.0
2017,SEA,16,16,27.0,1.6875,1.4375,1.6875,10.75,0.5625,1.0,15.0
2017,SF,16,16,27.0,1.6875,1.5625,1.6875,16.125,0.375,1.0,15.0
2017,TB,16,16,38.0,2.375,1.75,2.375,9.3125,0.3125,1.0,5.0
2017,TEN,16,16,18.0,1.125,1.125,1.125,5.75,0.5625,1.0,26.0
2017,WAS,16,16,38.0,2.375,1.625,2.25,9.875,0.4375,1.0,5.0
2018,ARI,16,16,21.0,1.3125,1.0625,1.3125,8.625,0.1875,1.0,22.0
2018,ATL,16,16,28.0,1.75,1.75,1.75,5.0,0.4375,1.0,16.0
2018,BAL,16,16,26.0,1.625,1.625,1.625,7.6875,0.625,1.0,18.0
2018,BUF,16,16,24.0,1.5,1.0625,1.4375,2.75,0.375,1.0,19.0
2018,CAR,16,16,29.0,1.8125,1.3125,1.5,10.1875,0.4375,1.0,13.0
2018,CHI,16,16,15.0,0.9375,0.5625,0.9375,4.9375,0.75,1.0,27.0
2018,CIN,16,16,47.0,2.9375,2.4375,2.9375,9.25,0.375,1.0,4.0
2018,CLE,16,16,24.0,1.5,1.125,1.5,6.625,0.46875,1.0,19.0
2018,DAL,16,16,52.0,3.25,2.875,2.875,8.5,0.625,1.0,3.0
2018,DEN,16,16,29.0,1.8125,1.5625,1.8125,8.6875,0.375,1.0,13.0
2018,DET,16,16,33.0,2.0625,1.875,2.0625,4.75,0.375,1.0,9.0
2018,GB,16,16,20.0,1.25,1.25,1.25,7.875,0.40625,1.0,24.0
2018,HOU,16,16,21.0,1.3125,1.125,1.1875,5.25,0.6875,1.0,22.0
2018,IND,16,16,60.0,3.75,3.3125,3.625,12.125,0.625,1.0,1.0
2018,JAX,16,16,36.0,2.25,2.125,2.25,10.375,0.3125,1.0,6.0
2018,KC,16,16,13.0,0.8125,0.375,0.8125,9.5625,0.75,1.0,29.0
2018,LA,16,16,11.0,0.6875,0.6875,0.6875,7.375,0.8125,1.0,30.0
2018,LAC,16,16,31.0,1.9375,1.8125,1.8125,6.5625,0.75,1.0,11.0
2018,LV,16,16,11.0,0.6875,0.6875,0.6875,11.5625,0.25,1.0,30.0
2018,MIA,16,16,20.0,1.25,1.1875,1.25,8.625,0.4375,1.0,24.0
2018,MIN,16,16,46.0,2.875,2.5625,2.625,8.5625,0.53125,1.0,5.0
2018,NE,16,16,10.0,0.625,0.5,0.625,8.8125,0.6875,1.0,32.0
2018,NO,16,16,20.0,1.25,1.1875,1.25,7.3125,0.8125,1.0,24.0
2018,NYG,16,16,30.0,1.875,1.5,1.875,7.375,0.3125,1.0,12.0
2018,NYJ,16,16,27.0,1.6875,0.9375,1.6875,5.25,0.25,1.0,17.0
2018,PHI,16,16,55.0,3.4375,3.4375,3.4375,8.5,0.5625,1.0,2.0
2018,PIT,16,16,15.0,0.9375,0.9375,0.9375,8.5625,0.59375,1.0,27.0
2018,SEA,16,16,22.0,1.375,1.3125,1.375,8.4375,0.625,1.0,21.0
2018,SF,16,16,32.0,2.0,1.625,1.9375,7.25,0.25,1.0,10.0
2018,TB,16,16,35.0,2.1875,1.9375,2.1875,9.4375,0.3125,1.0,7.0
2018,TEN,16,16,34.0,2.125,1.875,2.0,7.375,0.5625,1.0,8.0
2018,WAS,16,16,29.0,1.8125,1.4375,1.8125,12.5625,0.4375,1.0,13.0
2019,ARI,16,16,28.0,1.75,1.6875,1.6875,9.1875,0.34375,1.0,18.0
2019,ATL,16,16,34.0,2.125,1.5625,2.0,12.6875,0.4375,1.0,13.0
2019,BAL,16,16,10.0,0.625,0.5625,0.625,7.625,0.875,1.0,32.0
2019,BUF,16,16,19.0,1.1875,1.125,1.1875,5.3125,0.625,1.0,28.0
2019,CAR,16,16,39.0,2.4375,1.75,2.375,9.375,0.3125,1.0,9.0
2019,CHI,16,16,34.0,2.125,1.4375,2.125,4.8125,0.5,1.0,13.0
2019,CIN,16,16,58.0,3.625,2.625,3.5625,6.9375,0.125,1.0,1.0
2019,CLE,16,16,25.0,1.5625,1.3125,1.5625,7.5,0.375,1.0,20.0
2019,DAL,16,16,28.0,1.75,1.625,1.75,10.1875,0.5,1.0,18.0
2019,DEN,16,16,34.0,2.125,1.8125,2.0625,12.25,0.4375,1.0,13.0
2019,DET,16,16,38.0,2.375,2.125,2.375,6.125,0.21875,1.0,10.0
2019,GB,16,16,18.0,1.125,0.8125,1.125,6.75,0.8125,1.0,29.0
2019,HOU,16,16,21.0,1.3125,0.75,1.25,11.4375,0.625,1.0,27.0
2019,IND,16,16,38.0,2.375,2.0,2.375,9.9375,0.4375,1.0,10.0
2019,JAX,16,16,25.0,1.5625,1.5,1.5625,13.0625,0.375,1.0,20.0
2019,KC,16,16,41.0,2.5625,2.4375,2.4375,8.875,0.75,1.0,8.0
2019,LA,16,16,23.0,1.4375,1.0,1.4375,5.75,0.5625,1.0,26.0
2019,LAC,16,16,25.0,1.5625,1.1875,1.1875,9.3125,0.3125,1.0,20.0
2019,LV,16,16,24.0,1.5,1.5,1.4375,10.125,0.4375,1.0,23.0
2019,MIA,16,16,24.0,1.5,0.8125,1.0625,10.8125,0.3125,1.0,23.0
2019,MIN,16,16,24.0,1.5,1.125,1.5,2.4375,0.625,1.0,23.0
2019,NE,16,16,14.0,0.875,0.625,0.8125,10.625,0.75,1.0,30.0
2019,NO,16,16,47.0,2.9375,2.25,2.9375,8.375,0.8125,1.0,4.0
2019,NYG,16,16,44.0,2.75,1.4375,2.75,10.625,0.25,1.0,6.0
2019,NYJ,16,16,34.0,2.125,1.625,1.8125,10.375,0.4375,1.0,13.0
2019,PHI,16,16,47.0,2.9375,2.8125,2.875,6.8125,0.5625,1.0,4.0
2019,PIT,16,16,32.0,2.0,1.75,2.0,5.25,0.5,1.0,17.0
2019,SEA,16,16,14.0,0.875,0.75,0.875,11.875,0.6875,1.0,30.0
2019,SF,16,16,48.0,3.0,2.625,3.0,10.5,0.8125,1.0,3.0
2019,TB,16,16,43.0,2.6875,2.4375,2.6875,8.5,0.4375,1.0,7.0
2019,TEN,16,16,37.0,2.3125,2.0625,2.25,6.25,0.5625,1.0,12.0
2019,WAS,16,16,52.0,3.25,1.8125,3.25,11.125,0.1875,1.0,2.0
