hazard_probability,attributable_fraction,preferred_action,Stay,Investigate,Relocate
0.0,0.0,Stay,0.0,-0.25,-163.5202476073416
0.0,0.05,Stay,0.0,-0.25,-163.5202476073416
0.0,0.1,Stay,0.0,-0.25,-163.5202476073416
0.0,0.15000000000000002,Stay,0.0,-0.25,-163.5202476073416
0.0,0.2,Stay,0.0,-0.25,-163.5202476073416
0.0,0.25,Stay,0.0,-0.25,-163.5202476073416
0.0,0.30000000000000004,Stay,0.0,-0.25,-163.5202476073416
0.0,0.35000000000000003,Stay,0.0,-0.25,-163.5202476073416
0.0,0.4,Stay,0.0,-0.25,-163.5202476073416
0.0,0.45,Stay,0.0,-0.25,-163.5202476073416
0.0,0.5,Stay,0.0,-0.25,-163.5202476073416
0.0,0.55,Stay,0.0,-0.25,-163.5202476073416
0.0,0.6000000000000001,Stay,0.0,-0.25,-163.5202476073416
0.0,0.65,Stay,0.0,-0.25,-163.5202476073416
0.0,0.7000000000000001,Stay,0.0,-0.25,-163.5202476073416
0.0,0.75,Stay,0.0,-0.25,-163.5202476073416
0.0,0.8,Stay,0.0,-0.25,-163.5202476073416
0.0,0.8500000000000001,Stay,0.0,-0.25,-163.5202476073416
0.0,0.9,Stay,0.0,-0.25,-163.5202476073416
0.0,0.9500000000000001,Stay,0.0,-0.25,-163.5202476073416
0.0,1.0,Stay,0.0,-0.25,-163.5202476073416
0.05,0.0,Stay,0.0,-0.25,-163.52024760734156
0.05,0.05,Stay,0.0,-0.25,-163.42652488366082
0.05,0.1,Stay,0.0,-0.25,-163.33280215998005
0.05,0.15000000000000002,Stay,0.0,-0.25,-163.2390794362993
0.05,0.2,Stay,0.0,-0.25,-163.14535671261854
0.05,0.25,Stay,0.0,-0.25,-163.0516339889378
0.05,0.30000000000000004,Stay,0.0,-0.25,-162.95791126525702
0.05,0.35000000000000003,Stay,0.0,-0.25,-162.86418854157625
0.05,0.4,Stay,0.0,-0.25,-162.7704658178955
0.05,0.45,Stay,0.0,-0.25,-162.67674309421474
0.05,0.5,Stay,0.0,-0.25,-162.583020370534
0.05,0.55,Stay,0.0,-0.25,-162.48929764685323
0.05,0.6000000000000001,Stay,0.0,-0.25,-162.3955749231725
0.05,0.65,Stay,0.0,-0.25,-162.30185219949172
0.05,0.7000000000000001,Stay,0.0,-0.25,-162.20812947581098
0.05,0.75,Stay,0.0,-0.25,-162.1144067521302
0.05,0.8,Stay,0.0,-0.25,-162.02068402844944
0.05,0.8500000000000001,Stay,0.0,-0.25,-161.9269613047687
0.05,0.9,Stay,0.0,-0.25,-161.83323858108793
0.05,0.9500000000000001,Stay,0.0,-0.25,-161.73951585740718
0.05,1.0,Stay,0.0,-0.25,-161.64579313372641
0.1,0.0,Stay,0.0,-0.25,-163.5202476073416
0.1,0.05,Stay,0.0,-0.25,-163.33280215998008
0.1,0.1,Stay,0.0,-0.25,-163.14535671261854
0.1,0.15000000000000002,Stay,0.0,-0.25,-162.95791126525702
0.1,0.2,Stay,0.0,-0.25,-162.7704658178955
0.1,0.25,Stay,0.0,-0.25,-162.583020370534
0.1,0.30000000000000004,Stay,0.0,-0.25,-162.3955749231725
0.1,0.35000000000000003,Stay,0.0,-0.25,-162.20812947581098
0.1,0.4,Stay,0.0,-0.25,-162.02068402844947
0.1,0.45,Stay,0.0,-0.25,-161.83323858108795
0.1,0.5,Stay,0.0,-0.25,-161.64579313372644
0.1,0.55,Stay,0.0,-0.25,-161.4583476863649
0.1,0.6000000000000001,Stay,0.0,-0.25,-161.2709022390034
0.1,0.65,Stay,0.0,-0.25,-161.08345679164188
0.1,0.7000000000000001,Stay,0.0,-0.25,-160.89601134428037
0.1,0.75,Stay,0.0,-0.25,-160.70856589691886
0.1,0.8,Stay,0.0,-0.25,-160.52112044955734
0.1,0.8500000000000001,Stay,0.0,-0.25,-160.33367500219583
0.1,0.9,Stay,0.0,-0.25,-160.14622955483432
0.1,0.9500000000000001,Stay,0.0,-0.25,-159.9587841074728
0.1,1.0,Stay,0.0,-0.25,-159.77133866011127
0.15000000000000002,0.0,Stay,0.0,-0.25,-163.5202476073416
0.15000000000000002,0.05,Stay,0.0,-0.25,-163.23907943629933
0.15000000000000002,0.1,Stay,0.0,-0.25,-162.95791126525705
0.15000000000000002,0.15000000000000002,Stay,0.0,-0.25,-162.67674309421477
0.15000000000000002,0.2,Stay,0.0,-0.25,-162.3955749231725
0.15000000000000002,0.25,Stay,0.0,-0.25,-162.11440675213024
0.15000000000000002,0.30000000000000004,Stay,0.0,-0.25,-161.83323858108795
0.15000000000000002,0.35000000000000003,Stay,0.0,-0.25,-161.5520704100457
