Stay,Investigate,Relocate
0.0,-0.25,-176.5766931530218
0.0,-0.25,-184.9872802532935
0.0,-0.25,-183.6822576664448
0.0,-0.25,-181.2103471747909
0.0,-0.25,-182.4908347669717
0.0,-0.25,-157.20090992074714
0.0,-0.25,-164.1654623098777
0.0,-0.25,-172.52257728255714
0.0,-0.25,-135.60752645260442
0.0,-0.25,-161.56766190009392
0.0,-0.25,-181.22896708157612
0.0,-0.25,-152.66969071251984
0.0,-0.25,-159.04681699653437
0.0,-0.25,-152.9900776126187
0.0,-0.25,-195.04875083457625
0.0,-0.25,-168.98164558023836
0.0,-0.25,-129.6725239504194
0.0,-0.25,-164.25752585597255
0.0,-0.25,-158.9489751609262
0.0,-0.25,-154.74820543124716
0.0,-0.25,-190.5525289580152
0.0,-0.25,-151.27278735548524
0.0,-0.25,-128.9409913506097
0.0,-0.25,-161.48996963672602
0.0,-0.25,-155.82925519156555
0.0,-0.25,-157.8415572457692
0.0,-0.25,-148.2368250980085
0.0,-0.25,-158.03104421437902
0.0,-0.25,-192.45442887893955
0.0,-0.25,-161.761642713977
0.0,-0.25,-158.00133245424902
0.0,-0.25,-167.049736524906
0.0,-0.25,-163.58441238446164
0.0,-0.25,-166.37792039601345
0.0,-0.25,-155.0664387844422
0.0,-0.25,-143.50576282870742
0.0,-0.25,-166.5552543258533
0.0,-0.25,-168.13944707324615
0.0,-0.25,-146.27458721238
0.0,-0.25,-129.46093470458652
0.0,-0.25,-185.96476430190137
0.0,-0.25,-188.2882662789998
0.0,-0.25,-166.732338960124
0.0,-0.25,-164.4385575980853
0.0,-0.25,-129.83251443533334
0.0,-0.25,-177.46781588806238
0.0,-0.25,-171.71562027835293
0.0,-0.25,-141.02071040019533
0.0,-0.25,-171.5717609433529
0.0,-0.25,-172.22830567264086
0.0,-0.25,-161.16329928000582
0.0,-0.25,-139.12737919395462
0.0,-0.25,-153.74981136465266
0.0,-0.25,-130.20309818352098
0.0,-0.25,-166.46813442777503
0.0,-0.25,-181.02402489410977
0.0,-0.25,-168.12294903081144
0.0,-0.25,-174.80343218676649
0.0,-0.25,-151.41106955116604
0.0,-0.25,-178.1025726895363
0.0,-0.25,-167.9743615395417
0.0,-0.25,-163.2910452467654
0.0,-0.25,-156.0582771166788
0.0,-0.25,-149.33932852084808
0.0,-0.25,-168.05546217738038
0.0,-0.25,-168.46324952791755
0.0,-0.25,-189.19428255912487
0.0,-0.25,-162.4409483063953
0.0,-0.25,-145.20757719030334
0.0,-0.25,-163.56963179327678
0.0,-0.25,-174.11260865453204
0.0,-0.25,-169.34327544105602
0.0,-0.25,-150.0946013711737
0.0,-0.25,-158.85905083893002
0.0,-0.25,-163.53265443308302
0.0,-0.25,-167.9572558875224
0.0,-0.25,-165.32895757338125
0.0,-0.25,-175.4072415134025
0.0,-0.25,-190.72460061604636
0.0,-0.25,-152.8942968724531
0.0,-0.25,-186.19372269921183
0.0,-0.25,-134.28140043538977
0.0,-0.25,-175.28669434226762
0.0,-0.25,-138.5952033647268
0.0,-0.25,-145.90523322810455
0.0,-0.25,-144.50173388860316
0.0,-0.25,-177.6411228907253
0.0,-0.25,-181.35743265723428
0.0,-0.25,-166.3588427387854
0.0,-0.25,-162.62704772099426
0.0,-0.25,-169.35401529878456
0.0,-0.25,-172.8197342436522
0.0,-0.25,-185.3236273477974
0.0,-0.25,-168.29729614713253
0.0,-0.25,-180.90211490018766
0.0,-0.25,-175.63753709245046
0.0,-0.25,-153.38622248606322
0.0,-0.25,-149.52823037271526
0.0,-0.25,-150.9774598219651
0.0,-0.25,-143.1643443125758
0.0,-0.25,-165.63769748331853
0.0,-0.25,-138.65089035981666
0.0,-0.25,-188.92447915717625
0.0,-0.25,-185.32958394132464
0.0,-0.25,-176.14045223104824
0.0,-0.25,-141.4090231808917
0.0,-0.25,-163.41104491395757
0.0,-0.25,-159.76829780732598
0.0,-0.25,-188.48294050104724
0.0,-0.25,-152.7908795769709
0.0,-0.25,-151.53077837095384
0.0,-0.25,-125.38474559512322
0.0,-0.25,-186.81920389836665
0.0,-0.25,-162.5868011821373
0.0,-0.25,-172.61931169443622
0.0,-0.25,-152.89035901821168
0.0,-0.25,-165.9423913930327
0.0,-0.25,-156.1439223000815
0.0,-0.25,-174.56637282651255
0.0,-0.25,-167.43784000598808
0.0,-0.25,-160.56230020359422
0.0,-0.25,-189.16242233949205
0.0,-0.25,-160.95077120061686
0.0,-0.25,-176.29708223109674
0.0,-0.25,-147.5198183613127
