feature,mae_increase,sd
out_count_lag1,0.16520496992454434,0.017275101263711175
out_count_lag3,0.04534586876541959,0.01173374693177904
rest,0.028788166039988017,0.008713630521818748
score_margin_lag3,0.0075593134889757165,0.005453242697491189
listed_count_lag1,0.00652187569682725,0.004117392853258639
mean_roster_age_lag1,0.004091072737547452,0.0023452315874075624
team,0.003775574821087746,0.003470776154372634
missing_previous_report,0.0029522079400578606,0.002625640070993032
reserve_count_lag1,0.0017505817375321087,0.002563818344808623
listed_count_lag3,0.001476093560465297,0.0017503608448689843
reserve_count_lag3,0.0003324154025856618,0.00276535556983333
home,-0.000415640862227451,0.004043226311734946
week,-0.0018984756573188876,0.0032872130599432784
