season,out_per_observed_game,rank_out,coverage,other_31_mean,difference
2016,0.9375,30.0,1.0,2.036290322580645,-1.098790322580645
2017,1.6875,15.0,1.0,1.74502688172043,-0.05752688172042997
2018,2.0,10.0,1.0,1.7620967741935485,0.2379032258064515
2019,3.0,3.0,1.0,1.9637096774193548,1.0362903225806452
2020,3.9375,1.0,1.0,1.6581989247311828,2.279301075268817
2021,2.4705882352941178,4.0,1.0,1.588235294117647,0.8823529411764708
2022,3.0,7.0,1.0,1.9227150537634408,1.0772849462365592
2023,1.8235294117647056,15.0,1.0,1.8030123339658444,0.02051707779886125
2024,3.235294117647059,1.0,1.0,1.9686907020872866,1.2666034155597723
2025,2.6470588235294117,11.0,1.0,2.4611005692599623,0.18595825426944934
